name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DAC+SB.147.1-x1-0	DAC+SB.147.1-x1-0	8.55311913933384	0.702567870960257	0.957684216029482	0.733611204195338	0.463185730370324	0.999958274405444
DAC+SB.147.2-x1-0	DAC+SB.147.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.147.4-x1-0	DAC+SB.147.4-x1-0	0.983200796954706	0.180251155479307	3.93832247557134	0.045768510983387	0.963494757093205	1
DAC+SB.149.2-x1-0	DAC+SB.149.2-x1-0	4.57526605839349	-0.120136487605803	1.08629982099185	-0.110592384610827	0.911939586641404	0.999958274405444
DAC+SB.149.1-x1-0	DAC+SB.149.1-x1-0	0.113264352255716	-1.34642531773164	4.03339673803279	-0.333819211245837	0.738515985723791	1
DAC+SB.150.1-x1-0	DAC+SB.150.1-x1-0	2.18213670628039	0.992102411971127	2.16807404237381	0.457596185638051	0.647242584401991	1
DAC+SB.150.2-x1-0	DAC+SB.150.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.150.3-x1-0	DAC+SB.150.3-x1-0	0.792850465790011	-3.31770436814711	3.97844585331233	-0.83391969891582	0.40432623586453	1
DAC+SB.155.2-x1-0	DAC+SB.155.2-x1-0	4.75489946257251	-0.03085859198371	1.77867575085628	-0.0173491947415678	0.986158039769275	0.999958274405444
DAC+SB.155.1-x1-0	DAC+SB.155.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.157.1-x1-0	DAC+SB.157.1-x1-0	1.60207245627604	1.9453672928717	2.22382072335529	0.874786025888158	0.381690342057128	1
DAC+SB.157.2-x1-0	DAC+SB.157.2-x1-0	0.113264352255716	-1.34642531773164	4.03339673803279	-0.333819211245837	0.738515985723791	1
DAC+SB.158.2-x1-0	DAC+SB.158.2-x1-0	2.28458548805006	0.710357702768915	1.59418645971462	0.445592608342741	0.655891550882205	1
DAC+SB.160.1-x1-0	DAC+SB.160.1-x1-0	0.275935197124145	1.90948592042647	4.00750292933798	0.476477735411638	0.633734065524068	1
DAC+SB.162.1-x1-0	DAC+SB.162.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.164.1-x1-0	DAC+SB.164.1-x1-0	1.54490389581698	-1.52110934706807	1.66063597118012	-0.915980006134098	0.359677381684916	1
DAC+SB.165.1-x1-0	DAC+SB.165.1-x1-0	0.275935197124145	1.90948592042647	4.00750292933798	0.476477735411638	0.633734065524068	1
DAC+SB.166.1-x1-0	DAC+SB.166.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.166.2-x1-0	DAC+SB.166.2-x1-0	0.0939467284928098	0.859741913597837	4.05684691921159	0.211923676372023	0.832166579022923	1
DAC+SB.167.1-x1-0	DAC+SB.167.1-x1-0	0.565365288657747	-0.226276384302943	3.50029701021385	-0.0646449097441359	0.948456726661985	1
DAC+SB.168.1-x1-0	DAC+SB.168.1-x1-0	0	0	NA	NA	NA	1
DAC.22.2-x2-0	DAC.22.2-x2-0	0.473293573461312	1.24045616105097	4.03506660162338	0.307419005315034	0.758524463982473	1
DAC.22.1-x2-0	DAC.22.1-x2-0	0.278887691301287	1.91980841451136	4.00716428682173	0.479094011898885	0.631871749521957	1
DAC+SB.169.2-x1-0	DAC+SB.169.2-x1-0	2.28419770299025	0.652341968368501	2.47615029729801	0.263450069682903	0.792203703120367	1
